"";"ano";"mes";"Casos";"Casos_Confirmados";"data";"incidencia"
"93";2021;"setembro";55;16;2021-09-01;1,18518518518519
"94";2021;"outubro";53;6;2021-10-01;0,444444444444444
"95";2021;"novembro";52;12;2021-11-01;0,888888888888889
"96";2021;"dezembro";65;12;2021-12-01;0,888888888888889
"97";2022;"janeiro";71;21;2022-01-01;1,55555555555556
"98";2022;"fevereiro";43;13;2022-02-01;0,962962962962963
"99";2022;"março";58;19;2022-03-01;1,40740740740741
"100";2022;"abril";76;21;2022-04-01;1,55555555555556
"101";2022;"maio";76;24;2022-05-01;1,77777777777778
"102";2022;"junho";82;19;2022-06-01;1,40740740740741
"103";2022;"julho";73;18;2022-07-01;1,33333333333333
"104";2022;"agosto";72;19;2022-08-01;1,40740740740741
"105";2022;"setembro";62;22;2022-09-01;1,62962962962963
"106";2022;"outubro";70;21;2022-10-01;1,55555555555556
"107";2022;"novembro";74;19;2022-11-01;1,40740740740741
"108";2022;"dezembro";72;29;2022-12-01;2,14814814814815
"109";2023;"janeiro";77;23;2023-01-01;1,7037037037037
"110";2023;"fevereiro";58;16;2023-02-01;1,18518518518519
"111";2023;"março";67;18;2023-03-01;1,33333333333333
"112";2023;"abril";86;30;2023-04-01;2,22222222222222
"113";2023;"maio";89;31;2023-05-01;2,2962962962963
"114";2023;"junho";80;26;2023-06-01;1,92592592592593
"115";2023;"julho";87;30;2023-07-01;2,22222222222222
"116";2023;"agosto";96;33;2023-08-01;2,44444444444444
"117";2023;"setembro";73;39;2023-09-01;2,88888888888889
"118";2023;"outubro";70;28;2023-10-01;2,07407407407407
"119";2023;"novembro";65;20;2023-11-01;1,48148148148148
"120";2023;"dezembro";59;20;2023-12-01;1,48148148148148
"121";2024;"janeiro";80;27;2024-01-01;2
"122";2024;"fevereiro";57;13;2024-02-01;0,962962962962963
"123";2024;"março";80;29;2024-03-01;2,14814814814815
"124";2024;"abril";101;37;2024-04-01;2,74074074074074
"125";2024;"maio";91;37;2024-05-01;2,74074074074074
"126";2024;"junho";95;38;2024-06-01;2,81481481481481
"127";2024;"julho";104;35;2024-07-01;2,59259259259259
"128";2024;"agosto";90;28;2024-08-01;2,07407407407407
"129";2024;"setembro";95;39;2024-09-01;2,88888888888889
"130";2024;"outubro";117;41;2024-10-01;3,03703703703704
"131";2024;"novembro";103;36;2024-11-01;2,66666666666667
"132";2024;"dezembro";95;39;2024-12-01;2,88888888888889
"133";2025;"janeiro";93;37;2025-01-01;2,74074074074074
"134";2025;"fevereiro";121;38;2025-02-01;2,81481481481481
"135";2025;"março";53;23;2025-03-01;1,7037037037037
